Station;NodeNamen;NodeID;LinkName;LinkID;StopFacility;StopName;x;y;departureOffset;arrivalOffset;distanceToNextNode
Bramfeld;BramfeldNode;BramfeldNode;BA-BramfeldLink;BA-BramfeldLink;BA-BramfeldStopFacility;BA-BramfeldStop;571219;5941120;0;30;1234.294130262313
Steilshoop;SteilshoopNode;SteilshoopNode;BA-SteilshoopLink;BA-SteilshoopLink;BA-SteilshoopStopFacility;BA-SteilshoopStop;570058;5940701;90;120;1323.0275885256513
Barmbek_Nord;Barmbek_NordNode;Barmbek_NordNode;BA-Barmbek_NordLink;BA-Barmbek_NordLink;BA-Barmbek_NordStopFacility;BA-Barmbek_NordStop;568759;5940450;180;210;1147.542156088394
Sengelmannstrasse;SengelmannstrasseNode;SengelmannstrasseNode;BA-SengelmannstrasseLink;BA-SengelmannstrasseLink;BA-SengelmannstrasseStopFacility;BA-SengelmannstrasseStop;567616;5940552;270;300;859.7842752690933
City_Nord;City_NordNode;City_NordNode;BA-City_NordLink;BA-City_NordLink;BA-City_NordStopFacility;BA-City_NordStop;567314;5939747;360;390;1279.2443081757292
Borgwerg;BorgwergNode;BorgwergNode;BA-BorgwergLink;BA-BorgwergLink;BA-BorgwergStopFacility;BA-BorgwergStop;567169;5938476;450;480;794.4935493759531
Jarrestrasse;JarrestrasseNode;JarrestrasseNode;BA-JarrestrasseLink;BA-JarrestrasseLink;BA-JarrestrasseStopFacility;BA-JarrestrasseStop;567453;5937734;540;570;933.1002089807932
Beethovenstrasse;BeethovenstrasseNode;BeethovenstrasseNode;BA-BeethovenstrasseLink;BA-BeethovenstrasseLink;BA-BeethovenstrasseStopFacility;BA-BeethovenstrasseStop;567583;5936810;630;660;947.3774327056773
Uhlenhorst;UhlenhorstNode;UhlenhorstNode;BA-UhlenhorstLink;BA-UhlenhorstLink;BA-UhlenhorstStopFacility;BA-UhlenhorstStop;567701;5935870;720;750;990.74769744875
St_Georg;St_GeorgNode;St_GeorgNode;BA-St_GeorgLink;BA-St_GeorgLink;BA-St_GeorgStopFacility;BA-St_GeorgStop;567192;5935020;810;840;829.2195125538232
Hauptbahnhof_Nord;Hauptbahnhof_NordNode;Hauptbahnhof_NordNode;BA-Hauptbahnhof_NordLink;BA-Hauptbahnhof_NordLink;BA-Hauptbahnhof_NordStopFacility;BA-Hauptbahnhof_NordStop;566654;5934389;900;930;896.0273433327802
Jungfernstieg;JungfernstiegNode;JungfernstiegNode;BA-JungfernstiegLink;BA-JungfernstiegLink;BA-JungfernstiegStopFacility;BA-JungfernstiegStop;565765;5934277;990;1020;651.4752489542484
Stephansplatz_Dammtor;Stephansplatz_DammtorNode;Stephansplatz_DammtorNode;BA-Stephansplatz_DammtorLink;BA-Stephansplatz_DammtorLink;BA-Stephansplatz_DammtorStopFacility;BA-Stephansplatz_DammtorStop;565531;5934885;1080;1110;1032.9496599544432
Universitaet;UniversitaetNode;UniversitaetNode;BA-UniversitaetLink;BA-UniversitaetLink;BA-UniversitaetStopFacility;BA-UniversitaetStop;564995;5935768;1170;1200;617.9093784690438
Grindelberg;GrindelbergNode;GrindelbergNode;BA-GrindelbergLink;BA-GrindelbergLink;BA-GrindelbergStopFacility;BA-GrindelbergStop;564799;5936354;1260;1290;669.5446213658952
Hoheluftbruecke;HoheluftbrueckeNode;HoheluftbrueckeNode;BA-HoheluftbrueckeLink;BA-HoheluftbrueckeLink;BA-HoheluftbrueckeStopFacility;BA-HoheluftbrueckeStop;564670;5937011;1350;1380;933.5614602156625
Gaertnerstrasse;GaertnerstrasseNode;GaertnerstrasseNode;BA-GaertnerstrasseLink;BA-GaertnerstrasseLink;BA-GaertnerstrasseStopFacility;BA-GaertnerstrasseStop;564151;5937787;1440;1470;998.5990186255943
UKE;UKENode;UKENode;BA-UKELink;BA-UKELink;BA-UKEStopFacility;BA-UKEStop;564499;5938723;1530;1560;1288.5169769933184
Behrmannplatz;BehrmannplatzNode;BehrmannplatzNode;BA-BehrmannplatzLink;BA-BehrmannplatzLink;BA-BehrmannplatzStopFacility;BA-BehrmannplatzStop;563375;5939353;1620;1650;1144.7724664753255
Hagenbecks_Tierpark;Hagenbecks_TierparkNode;Hagenbecks_TierparkNode;BA-Hagenbecks_TierparkLink;BA-Hagenbecks_TierparkLink;BA-Hagenbecks_TierparkStopFacility;BA-Hagenbecks_TierparkStop;562477;5938643;1710;1740;797.8978631378831
Sportplatzring;SportplatzringNode;SportplatzringNode;BA-SportplatzringLink;BA-SportplatzringLink;BA-SportplatzringStopFacility;BA-SportplatzringStop;561681;5938588;1800;1830;821.5156724007156
Stellingen_Arenen;Stellingen_ArenenNode;Stellingen_ArenenNode;BA-Stellingen_ArenenLink;BA-Stellingen_ArenenLink;BA-Stellingen_ArenenStopFacility;BA-Stellingen_ArenenStop;560879;5938410;1890;1920;1332.2800006004743
Arenen_Volkspark;Arenen_VolksparkNode;Arenen_VolksparkNode;BA-Arenen_VolksparkLink;BA-Arenen_VolksparkLink;BA-Arenen_VolksparkStopFacility;BA-Arenen_VolksparkStop;559558;5938583;1980;2010;
