;Station;NodeNamen;NodeID;LinkName;LinkID;StopFacility;StopName;x;y;arrivalOffset;departureOffset;distanceToNextNode
0;Arenen_Volkspark;Arenen_VolksparkNode;Arenen_VolksparkNode;AB-Arenen_VolksparkLink;AB-Arenen_VolksparkLink;AB-Arenen_VolksparkStopFacility;AB-Arenen_VolksparkStop;559558;5938583;0:00:00;0:00:30;1332.280001
1;Stellingen_Arenen;Stellingen_ArenenNode;Stellingen_ArenenNode;AB-Stellingen_ArenenLink;AB-Stellingen_ArenenLink;AB-Stellingen_ArenenStopFacility;AB-Stellingen_ArenenStop;560879;5938410;0:01:44;0:02:14;821.5156724
2;Sportplatzring;SportplatzringNode;SportplatzringNode;AB-SportplatzringLink;AB-SportplatzringLink;AB-SportplatzringStopFacility;AB-SportplatzringStop;561681;5938588;0:03:27;0:03:57;797.8978631
3;Hagenbecks_Tierpark;Hagenbecks_TierparkNode;Hagenbecks_TierparkNode;AB-Hagenbecks_TierparkLink;AB-Hagenbecks_TierparkLink;AB-Hagenbecks_TierparkStopFacility;AB-Hagenbecks_TierparkStop;562477;5938643;0:05:41;0:06:11;1144.772466
4;Behrmannplatz;BehrmannplatzNode;BehrmannplatzNode;AB-BehrmannplatzLink;AB-BehrmannplatzLink;AB-BehrmannplatzStopFacility;AB-BehrmannplatzStop;563375;5939353;0:08:08;0:08:38;1288.516977
5;UKE;UKENode;UKENode;AB-UKELink;AB-UKELink;AB-UKEStopFacility;AB-UKEStop;564499;5938723;0:10:09;0:10:39;998.5990186
6;Gaertnerstrasse;GaertnerstrasseNode;GaertnerstrasseNode;AB-GaertnerstrasseLink;AB-GaertnerstrasseLink;AB-GaertnerstrasseStopFacility;AB-GaertnerstrasseStop;564151;5937787;0:12:04;0:12:34;933.5614602
7;Hoheluftbruecke;HoheluftbrueckeNode;HoheluftbrueckeNode;AB-HoheluftbrueckeLink;AB-HoheluftbrueckeLink;AB-HoheluftbrueckeStopFacility;AB-HoheluftbrueckeStop;564670;5937011;0:13:34;0:14:04;669.5446214
8;Grindelberg;GrindelbergNode;GrindelbergNode;AB-GrindelbergLink;AB-GrindelbergLink;AB-GrindelbergStopFacility;AB-GrindelbergStop;564799;5936354;0:15:01;0:15:31;617.9093785
9;Universitaet;UniversitaetNode;UniversitaetNode;AB-UniversitaetLink;AB-UniversitaetLink;AB-UniversitaetStopFacility;AB-UniversitaetStop;564995;5935768;0:17:05;0:17:35;1032.94966
10;Stephansplatz_Dammtor;Stephansplatz_DammtorNode;Stephansplatz_DammtorNode;AB-Stephansplatz_DammtorLink;AB-Stephansplatz_DammtorLink;AB-Stephansplatz_DammtorStopFacility;AB-Stephansplatz_DammtorStop;565531;5934885;0:18:34;0:19:04;651.475249
11;Jungfernstieg;JungfernstiegNode;JungfernstiegNode;AB-JungfernstiegLink;AB-JungfernstiegLink;AB-JungfernstiegStopFacility;AB-JungfernstiegStop;565765;5934277;0:20:25;0:20:55;896.0273433
12;Hauptbahnhof_Nord;Hauptbahnhof_NordNode;Hauptbahnhof_NordNode;AB-Hauptbahnhof_NordLink;AB-Hauptbahnhof_NordLink;AB-Hauptbahnhof_NordStopFacility;AB-Hauptbahnhof_NordStop;566654;5934389;0:22:11;0:22:41;829.2195126
13;St_Georg;St_GeorgNode;St_GeorgNode;AB-St_GeorgLink;AB-St_GeorgLink;AB-St_GeorgStopFacility;AB-St_GeorgStop;567192;5935020;0:24:11;0:24:41;990.7476974
14;Uhlenhorst;UhlenhorstNode;UhlenhorstNode;AB-UhlenhorstLink;AB-UhlenhorstLink;AB-UhlenhorstStopFacility;AB-UhlenhorstStop;567701;5935870;0:26:07;0:26:37;947.3774327
15;Beethovenstrasse;BeethovenstrasseNode;BeethovenstrasseNode;AB-BeethovenstrasseLink;AB-BeethovenstrasseLink;AB-BeethovenstrasseStopFacility;AB-BeethovenstrasseStop;567583;5936810;0:28:02;0:28:32;933.100209
16;Jarrestrasse;JarrestrasseNode;JarrestrasseNode;AB-JarrestrasseLink;AB-JarrestrasseLink;AB-JarrestrasseStopFacility;AB-JarrestrasseStop;567453;5937734;0:29:44;0:30:14;794.4935494
17;Borgwerg;BorgwergNode;BorgwergNode;AB-BorgwergLink;AB-BorgwergLink;AB-BorgwergStopFacility;AB-BorgwergStop;567169;5938476;0:32:10;0:32:40;1279.244308
18;City_Nord;City_NordNode;City_NordNode;AB-City_NordLink;AB-City_NordLink;AB-City_NordStopFacility;AB-City_NordStop;567314;5939747;0:33:58;0:34:28;859.7842753
19;Sengelmannstrasse;SengelmannstrasseNode;SengelmannstrasseNode;AB-SengelmannstrasseLink;AB-SengelmannstrasseLink;AB-SengelmannstrasseStopFacility;AB-SengelmannstrasseStop;567616;5940552;0:36:13;0:36:43;1147.542156
20;Barmbek_Nord;Barmbek_NordNode;Barmbek_NordNode;AB-Barmbek_NordLink;AB-Barmbek_NordLink;AB-Barmbek_NordStopFacility;AB-Barmbek_NordStop;568759;5940450;0:38:43;0:39:13;1323.027589
21;Steilshoop;SteilshoopNode;SteilshoopNode;AB-SteilshoopLink;AB-SteilshoopLink;AB-SteilshoopStopFacility;AB-SteilshoopStop;570058;5940701;0:41:05;0:41:35;1234.29413
22;Bramfeld;BramfeldNode;BramfeldNode;AB-BramfeldLink;AB-BramfeldLink;AB-BramfeldStopFacility;AB-BramfeldStop;571219;5941120;0:41:35;0:42:05;
