;Unnamed: 0.3;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0;Station;NodeNamen;NodeID;LinkName;LinkID;StopFacility;StopName;x;y;arrivalOffset;departureOffset;distanceToNextNode
0;0;0;0;0;Bramfeld;BramfeldNode;BramfeldNode;BA-BramfeldLink;BA-BramfeldLink;BA-BramfeldStopFacility;BA-BramfeldStop;571219;5941120;0:00:00;0:00:30;1234.29413
1;1;1;1;1;Steilshoop;SteilshoopNode;SteilshoopNode;BA-SteilshoopLink;BA-SteilshoopLink;BA-SteilshoopStopFacility;BA-SteilshoopStop;570058;5940701;0:02:30;0:03:00;1323.027589
2;2;2;2;2;Barmbek_Nord;Barmbek_NordNode;Barmbek_NordNode;BA-Barmbek_NordLink;BA-Barmbek_NordLink;BA-Barmbek_NordStopFacility;BA-Barmbek_NordStop;568759;5940450;0:04:44;0:05:14;1147.542156
3;3;3;3;3;Sengelmannstrasse;SengelmannstrasseNode;SengelmannstrasseNode;BA-SengelmannstrasseLink;BA-SengelmannstrasseLink;BA-SengelmannstrasseStopFacility;BA-SengelmannstrasseStop;567616;5940552;0:06:32;0:07:02;859.7842753
4;4;4;4;4;City_Nord;City_NordNode;City_NordNode;BA-City_NordLink;BA-City_NordLink;BA-City_NordStopFacility;BA-City_NordStop;567314;5939747;0:08:59;0:09:29;1279.244308
5;5;5;5;5;Borgwerg;BorgwergNode;BorgwergNode;BA-BorgwergLink;BA-BorgwergLink;BA-BorgwergStopFacility;BA-BorgwergStop;567169;5938476;0:10:41;0:11:11;794.4935494
6;6;6;6;6;Jarrestrasse;JarrestrasseNode;JarrestrasseNode;BA-JarrestrasseLink;BA-JarrestrasseLink;BA-JarrestrasseStopFacility;BA-JarrestrasseStop;567453;5937734;0:12:36;0:13:06;933.100209
7;7;7;7;7;Beethovenstrasse;BeethovenstrasseNode;BeethovenstrasseNode;BA-BeethovenstrasseLink;BA-BeethovenstrasseLink;BA-BeethovenstrasseStopFacility;BA-BeethovenstrasseStop;567583;5936810;0:14:32;0:15:02;947.3774327
8;8;8;8;8;Uhlenhorst;UhlenhorstNode;UhlenhorstNode;BA-UhlenhorstLink;BA-UhlenhorstLink;BA-UhlenhorstStopFacility;BA-UhlenhorstStop;567701;5935870;0:16:32;0:17:02;990.7476974
9;9;9;9;9;St_Georg;St_GeorgNode;St_GeorgNode;BA-St_GeorgLink;BA-St_GeorgLink;BA-St_GeorgStopFacility;BA-St_GeorgStop;567192;5935020;0:18:17;0:18:47;829.2195126
10;10;10;10;10;Hauptbahnhof_Nord;Hauptbahnhof_NordNode;Hauptbahnhof_NordNode;BA-Hauptbahnhof_NordLink;BA-Hauptbahnhof_NordLink;BA-Hauptbahnhof_NordStopFacility;BA-Hauptbahnhof_NordStop;566654;5934389;0:20:09;0:20:39;896.0273433
11;11;11;11;11;Jungfernstieg;JungfernstiegNode;JungfernstiegNode;BA-JungfernstiegLink;BA-JungfernstiegLink;BA-JungfernstiegStopFacility;BA-JungfernstiegStop;565765;5934277;0:21:38;0:22:08;651.475249
12;12;12;12;12;Stephansplatz_Dammtor;Stephansplatz_DammtorNode;Stephansplatz_DammtorNode;BA-Stephansplatz_DammtorLink;BA-Stephansplatz_DammtorLink;BA-Stephansplatz_DammtorStopFacility;BA-Stephansplatz_DammtorStop;565531;5934885;0:23:42;0:24:12;1032.94966
13;13;13;13;13;Universitaet;UniversitaetNode;UniversitaetNode;BA-UniversitaetLink;BA-UniversitaetLink;BA-UniversitaetStopFacility;BA-UniversitaetStop;564995;5935768;0:25:08;0:25:38;617.9093785
14;14;14;14;14;Grindelberg;GrindelbergNode;GrindelbergNode;BA-GrindelbergLink;BA-GrindelbergLink;BA-GrindelbergStopFacility;BA-GrindelbergStop;564799;5936354;0:26:39;0:27:09;669.5446214
15;15;15;15;15;Hoheluftbruecke;HoheluftbrueckeNode;HoheluftbrueckeNode;BA-HoheluftbrueckeLink;BA-HoheluftbrueckeLink;BA-HoheluftbrueckeStopFacility;BA-HoheluftbrueckeStop;564670;5937011;0:28:34;0:29:04;933.5614602
16;16;16;16;16;Gaertnerstrasse;GaertnerstrasseNode;GaertnerstrasseNode;BA-GaertnerstrasseLink;BA-GaertnerstrasseLink;BA-GaertnerstrasseStopFacility;BA-GaertnerstrasseStop;564151;5937787;0:30:34;0:31:04;998.5990186
17;17;17;17;17;UKE;UKENode;UKENode;BA-UKELink;BA-UKELink;BA-UKEStopFacility;BA-UKEStop;564499;5938723;0:33:02;0:33:32;1288.516977
18;18;18;18;18;Behrmannplatz;BehrmannplatzNode;BehrmannplatzNode;BA-BehrmannplatzLink;BA-BehrmannplatzLink;BA-BehrmannplatzStopFacility;BA-BehrmannplatzStop;563375;5939353;0:35:16;0:35:46;1144.772466
19;19;19;19;19;Hagenbecks_Tierpark;Hagenbecks_TierparkNode;Hagenbecks_TierparkNode;BA-Hagenbecks_TierparkLink;BA-Hagenbecks_TierparkLink;BA-Hagenbecks_TierparkStopFacility;BA-Hagenbecks_TierparkStop;562477;5938643;0:36:58;0:37:28;797.8978631
20;20;20;20;20;Sportplatzring;SportplatzringNode;SportplatzringNode;BA-SportplatzringLink;BA-SportplatzringLink;BA-SportplatzringStopFacility;BA-SportplatzringStop;561681;5938588;0:38:43;0:39:13;821.5156724
21;21;21;21;21;Stellingen_Arenen;Stellingen_ArenenNode;Stellingen_ArenenNode;BA-Stellingen_ArenenLink;BA-Stellingen_ArenenLink;BA-Stellingen_ArenenStopFacility;BA-Stellingen_ArenenStop;560879;5938410;0:41:14;0:41:44;1332.280001
22;22;22;22;22;Arenen_Volkspark;Arenen_VolksparkNode;Arenen_VolksparkNode;BA-Arenen_VolksparkLink;BA-Arenen_VolksparkLink;BA-Arenen_VolksparkStopFacility;BA-Arenen_VolksparkStop;559558;5938583;0:41:44;0:42:14;
