Station;NodeNamen;NodeID;LinkName;LinkID;StopFacility;StopName;x;y;departureOffset;arrivalOffset
Bramfeld;;;;;;;571219;5941120;0;30
Steilshoop;;;;;;;570058;5940701;90;120
Barmbek_Nord;;;;;;;568759;5940450;180;210
Sengelmannstrasse;;;;;;;567616;5940552;270;300
City_Nord;;;;;;;567314;5939747;360;390
Borgwerg;;;;;;;567169;5938476;450;480
Jarrestrasse;;;;;;;567453;5937734;540;570
Beethovenstrasse;;;;;;;567583;5936810;630;660
Uhlenhorst;;;;;;;567701;5935870;720;750
St_Georg;;;;;;;567192;5935020;810;840
Hauptbahnhof_Nord;;;;;;;566654;5934389;900;930
Jungfernstieg;;;;;;;565765;5934277;990;1020
Stephansplatz_Dammtor;;;;;;;565531;5934885;1080;1110
Universitaet;;;;;;;564995;5935768;1170;1200
Grindelberg;;;;;;;564799;5936354;1260;1290
Hoheluftbruecke;;;;;;;564670;5937011;1350;1380
Gaertnerstrasse;;;;;;;564151;5937787;1440;1470
UKE;;;;;;;564499;5938723;1530;1560
Behrmannplatz;;;;;;;563375;5939353;1620;1650
Hagenbecks_Tierpark;;;;;;;562477;5938643;1710;1740
Sportplatzring;;;;;;;561681;5938588;1800;1830
Stellingen_Arenen;;;;;;;560879;5938410;1890;1920
Arenen_Volkspark;;;;;;;559558;5938583;1980;2010
